,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,99.347,4.3862499999999995,0.50825,0.028499999999999998,0.10925,0.42525,0.0335,0.051500000000000004,0.011750000000000002,0.03625,0.03875,0.00025,0.0,0.00025,0.0,0.0034999999999999996,0.002,0.0005,0.0017499999999999998,0.017249999999999998,0.06225,0.13475,0.301,0.541,2.15775,4.58025
1,1.9722499999999996,91.518,0.2855,0.008,0.022000000000000002,0.0935,0.01,0.008,0.004,0.012,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.012,0.029750000000000002,0.07325,0.15474999999999997,0.45649999999999996,0.738
2,0.13324999999999998,0.1,68.028,0.00825,0.011000000000000001,0.058,0.01375,0.00825,0.0055000000000000005,0.0,0.0,0.0027500000000000003,0.0027500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027500000000000003,0.0195,0.05,0.13625,0.15275
3,0.08725,0.009250000000000001,0.013000000000000001,81.40750000000001,0.0225,0.06375,0.00525,0.0,0.0,0.00925,0.01325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00125,0.00525,0.011999999999999999,0.045,0.08600000000000001,0.07525
4,0.06999999999999999,0.01575,0.0027500000000000003,0.00525,92.12174999999999,3.4564999999999997,0.11499999999999999,0.04225,0.0065,0.08600000000000001,0.07924999999999999,0.00775,0.004,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0027500000000000003,0.01325,0.051500000000000004,0.0885,0.09
5,0.15575,0.04575,0.016,0.02,0.4345,94.39675000000001,1.8342499999999997,1.1022499999999997,0.43950000000000006,0.4655,0.38175000000000003,0.19049999999999997,0.0635,0.10125000000000002,0.03775,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.004,0.02175,0.10200000000000001,0.16774999999999998
6,0.00425,0.00325,0.0017499999999999998,0.0017499999999999998,0.041,1.7065000000000001,94.11675,9.86075,1.414,0.42724999999999996,0.3465,0.52425,0.1665,0.19075,0.059250000000000004,0.0017499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00075,0.0025,0.005
7,0.0025,0.00075,0.0,0.004,0.02475,0.72775,7.246000000000001,98.6915,11.77075,1.90475,1.4672500000000002,5.97525,1.6939999999999997,2.08875,0.9565,0.18950000000000003,0.06175,0.02325,0.019250000000000003,0.012750000000000001,0.017750000000000002,0.00325,0.00075,0.0,0.008,0.0015
8,0.0,0.0,0.0,0.0,0.0,0.1585,0.9119999999999999,6.3495,98.52225,2.064,1.2085,31.31075,4.5545,4.037,2.2849999999999997,0.73225,0.30574999999999997,0.11050000000000001,0.08975,0.10874999999999999,0.05924999999999999,0.0095,0.0015,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0034999999999999996,0.44600000000000006,0.9115,2.5555000000000003,4.434,99.42875,14.046999999999999,10.77075,11.33675,13.024249999999999,4.14225,1.09725,0.6492500000000001,0.20850000000000002,0.15625,0.13025,0.1285,0.02075,0.0017499999999999998,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0535,0.20175,0.58475,1.41,18.93975,99.76700000000001,3.90325,5.4799999999999995,9.3765,6.1965,3.3480000000000003,2.81975,1.0825,0.738,1.2074999999999998,0.6325,0.13849999999999998,0.044000000000000004,0.00675,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.006500000000000001,0.09725,0.45825,3.0545,1.6737499999999998,1.54375,99.29375,28.505999999999997,11.451249999999998,4.22075,1.61425,0.8669999999999999,0.35150000000000003,0.299,0.68275,0.48449999999999993,0.1485,0.07275,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.01325,0.12675,0.29000000000000004,0.27025,2.19375,3.0032500000000004,99.28049999999999,16.6285,3.0665,1.0645,0.8017500000000001,0.39375,0.2705,0.56475,0.30225,0.04625,0.00775,0.0005,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045000000000000005,0.03325,0.006500000000000001,0.52025,0.26325,1.10825,99.45775,5.241,1.3275,0.8035000000000001,0.45874999999999994,0.11025,0.28875,0.11775000000000002,0.0265,0.004,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00125,0.00075,0.004999999999999999,0.34625,99.25399999999999,14.8565,5.759,2.6742500000000002,0.16025000000000003,0.79025,0.07900000000000001,0.014750000000000001,0.00025,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.005,0.0005,0.005,0.13649999999999998,8.4855,99.43950000000001,43.35425000000001,19.29775,2.5655,9.298,1.5842500000000002,0.25725000000000003,0.06325,0.0017500000000000003,0.00075,0.0
16,0.00075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.0045000000000000005,0.00075,0.00225,0.06175,1.7534999999999998,16.96075,99.48475,52.20875,8.98025,29.8585,9.841,3.4805,1.45825,0.299,0.053,0.01675
