,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.057249999999999995,0.025,0.02925,0.07675000000000001,0.27875,0.22724999999999998,1.0390000000000001,0.16875,0.13074999999999998,0.189,0.70025,1.35275,0.06525,0.25949999999999995,0.62875,0.853,0.42075,0.9075,1.9285
1,0.013999999999999999,0.006,0.008,0.01575,0.051750000000000004,0.059750000000000004,0.46225,0.02175,0.01575,0.03975,0.35925,0.83925,0.02375,0.0895,0.23224999999999998,0.51,0.13699999999999998,0.26,0.54775
2,0.0027500000000000003,0.0055000000000000005,0.00825,0.0027500000000000003,0.027749999999999997,0.0415,0.18625,0.02225,0.02225,0.03325,0.12225000000000001,0.26400000000000007,0.0,0.016749999999999998,0.04725,0.147,0.0305,0.072,0.12525000000000003
3,0.031749999999999994,0.0027500000000000003,0.004,0.029,0.08349999999999999,0.1535,0.344,0.11525,0.10575000000000001,0.15350000000000003,0.2315,0.2975,0.0,0.01575,0.0185,0.131,0.01975,0.0675,0.10325
4,0.1905,0.06475,0.0755,0.18275000000000002,0.5170000000000001,0.92625,1.9377500000000003,0.52775,0.46825,0.73025,0.55825,0.36775,0.010750000000000001,0.0027500000000000003,0.008,0.13375,0.0145,0.06874999999999999,0.11624999999999999
5,1.1239999999999999,0.7084999999999999,1.006,1.42675,4.3095,5.013000000000001,6.432499999999999,2.46725,2.0604999999999998,3.06825,2.2807500000000003,1.0795000000000001,0.0755,0.006999999999999999,0.0545,0.39274999999999993,0.012,0.07050000000000001,0.1875
6,1.1,0.78425,0.9882499999999999,0.9659999999999999,2.45925,1.805,1.199,1.29425,0.8409999999999999,0.9135000000000001,0.55825,0.15,0.26175,0.0,0.0017499999999999998,0.03925,0.0,0.00325,0.00675
7,5.2605,4.6850000000000005,7.6185,3.197,4.00225,2.0527499999999996,1.0799999999999998,3.30875,2.2395,1.28925,0.9764999999999999,0.25925000000000004,2.0497500000000004,0.008,0.00075,0.05675000000000001,0.0,0.0025,0.0135
8,6.322,3.585,5.3765,0.9934999999999999,1.508,0.76425,0.311,1.9005,1.24825,0.77075,0.33175,0.028749999999999998,3.689250000000001,0.0095,0.00325,0.00475,0.00325,0.0,0.0
9,62.9165,11.184000000000001,9.33525,2.6722499999999996,4.859249999999999,2.62675,0.8055,20.08325,12.71025,4.9357500000000005,3.7745,0.988,9.9115,0.03825,0.015749999999999997,0.23424999999999999,0.010499999999999999,0.0,0.0
10,80.37100000000001,2.338,2.70825,1.0177500000000002,1.2775,1.5,0.08700000000000001,48.297000000000004,24.44325,7.74175,5.3185,2.1645000000000003,21.4865,0.201,0.13025,0.5505,0.057249999999999995,0.03275,0.0022500000000000003
11,7.01325,1.08975,1.1047500000000001,0.5505,0.43474999999999997,0.33875000000000005,0.047,2.73025,2.1075,1.0912499999999998,0.5882499999999999,0.17675,6.3142499999999995,0.12375000000000001,0.012750000000000001,0.0022500000000000003,0.02625,0.0,0.0
12,4.736,0.02925,0.10175,0.0095,0.028249999999999997,0.09450000000000001,0.00375,2.738,2.64675,1.0547499999999999,1.16,0.41050000000000003,4.3615,0.036,0.0035000000000000005,0.014249999999999999,0.0015000000000000002,0.0,0.0
13,1.92725,0.0085,0.0135,0.0,0.0005,0.002,0.0,1.242,1.264,0.245,0.3155,0.11199999999999999,5.524,0.017,0.001,0.0025,0.001,0.0,0.0
14,0.040499999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.02225,0.0022500000000000003,0.002,0.00025,3.375,0.003,0.00125,0.0,0.0,0.0,0.0
15,0.0365,0.0,0.0,0.0,0.0,0.0,0.0,0.014750000000000001,0.0185,0.0005,0.0,0.0,7.6850000000000005,0.13250000000000003,0.010499999999999999,0.0,0.01725,0.002,0.00075
16,0.0435,0.0,0.0,0.0,0.0,0.0,0.0,0.01825,0.021249999999999998,0.00025,0.0,0.0,7.36675,2.7315,0.1985,0.0,1.0170000000000001,0.29,0.1315
17,0.027750000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0155,0.0165,0.00025,0.0,0.0,2.214,4.849,0.46275,0.0,2.5925,1.2209999999999999,0.67775
18,0.32175000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.14400000000000002,0.16674999999999998,0.0075,0.00375,0.00375,32.787749999999996,7.0832500000000005,0.7310000000000001,0.0,2.7272499999999997,0.9997499999999999,0.5720000000000001
19,0.10925,0.0,0.0,0.0,0.0,0.0,0.0,0.02725,0.0735,0.002,0.004,0.030500000000000003,4.6240000000000006,10.99475,0.9457500000000001,0.034999999999999996,6.2197499999999994,4.01625,2.8209999999999997
20,0.24925,0.0,0.0005,0.0,0.0,0.0005,0.0045000000000000005,0.0915,0.41125,0.01375,0.038,0.147,10.208999999999998,27.532999999999998,2.5245,0.16199999999999998,14.7395,9.812750000000001,8.333
21,0.3695,0.0,0.0005,0.0017499999999999998,0.01,0.004,0.022000000000000002,0.10074999999999999,0.6025,0.01925,0.11400000000000002,0.4075,5.952,35.38575,4.9205,0.41875,20.043249999999997,14.724499999999999,13.58625
22,0.422,0.0025,0.00575,0.00875,0.0375,0.0105,0.10225,0.074,0.23925000000000002,0.01225,0.17225000000000001,0.5022499999999999,3.24025,18.8235,13.28725,0.515,32.832499999999996,25.898,23.42675
23,0.20500000000000002,0.0035000000000000005,0.007749999999999998,0.017750000000000002,0.11424999999999999,0.014750000000000001,0.3495,0.04675,0.23500000000000001,0.0055000000000000005,0.18475,0.8652500000000001,1.696,12.924249999999999,18.14725,1.02875,20.229,42.4645,36.179
24,0.11900000000000001,0.007000000000000001,0.012750000000000001,0.05,0.20825000000000002,0.0925,0.8722500000000001,0.02275,0.0475,0.028500000000000004,0.294,1.1482500000000002,0.8345,4.08975,8.964500000000001,1.0037500000000001,7.4265,18.433249999999997,34.745000000000005
25,0.14475,0.057249999999999995,0.06925,0.376,1.0574999999999999,0.6795,3.0435000000000003,0.351,0.22924999999999998,0.334,0.9325,2.3182500000000004,0.8710000000000001,2.54225,6.2604999999999995,1.4655,4.280749999999999,10.604,20.581750000000003
